职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
网页设计师,1-1.2万/月,上海-静安区,北京新东方前途出国咨询有限公司,上市公司,500-1000人,教育/培训/院校,07-22,
美工/平面设计师/网页设计师,5-8千/月,上海,上海日进电气有限公司,民营公司,50-150人,仪器仪表/工业自动化,07-22,
网页设计师,6-8千/月,东莞,东莞市天助网络信息技术有限公司,民营公司,50-150人,计算机软件,07-22,
视觉/平面/视频/网页设计师/经理(医药/营养/保健),0.6-1.5万/月,上海,上海复旦奥医医学科技有限公司,民营公司,150-500人,制药/生物工程,07-22,
网页设计师,0.7-1万/月,广州,广州太平洋电脑信息咨询有限公司,外资（非欧美）,500-1000人,互联网/电子商务,07-22,
网页设计师,3.5-5千/月,福州-鼓楼区,阳光易购（福建）信息科技有限公司,民营公司,50-150人,批发/零售,07-22,
网页设计师助理,4.5-6千/月,西安-碑林区,陕西伯马汇网络科技有限公司,民营公司,50-150人,计算机软件,07-22,
平面设计师、网页制作、美工师,6.5-9.5千/月,深圳-罗湖区,上海宗胤商贸有限公司,外资（非欧美）,50-150人,家具/家电/玩具/礼品,07-22,
网页设计师,2-4万/月,上海-徐汇区,上海极在信息科技有限公司,民营公司,少于50人,网络游戏,07-22,
网页设计师,0.6-1.2万/月,上海,今题（上海）信息技术有限公司,外资（欧美）,150-500人,互联网/电子商务,07-22,
网页设计师,5-8千/月,广州-白云区,广州市裕朝化妆品有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师双休五险一金,4-8千/月,广州-天河区,姿美荟（广州）科技有限公司,民营公司,50-150人,美容/保健,07-22,
高级网页设计师,0.7-1万/月,上海-闵行区,上海特蓝信息科技有限公司--中国企业在线,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,7-8千/月,上海-徐汇区,上海美都管理咨询有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),07-22,
网页设计师,3.5-6.5千/月,武汉-洪山区,武汉企盟天助信息技术有限公司,创业公司,150-500人,互联网/电子商务,07-22,
网页设计师,4-8千/月,福州-鼓楼区,福建大智网络科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,3-4.5千/月,厦门,厦门智汇祥盈科技有限公司,民营公司,50-150人,计算机软件,07-22,
初级网页设计师,3-4.5千/月,广州-越秀区,广州舞音传媒科技有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,07-22,
网页设计师,8-10万/年,北京-大兴区,北京巨龙嘉丰信息科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,4.5-6千/月,昆明,云南淼众科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.8-1.5万/月,广州-天河区,讯汇科技（广州）有限公司,外资（非欧美）,150-500人,互联网/电子商务,07-22,
网页设计师,4.5-8千/月,广州-越秀区,慧聪集团行业公司,上市公司,1000-5000人,互联网/电子商务,07-22,
网页设计师,4.5-6千/月,广州-天河区,智云链科技发展（广州）有限公司,民营公司,,计算机软件,07-22,
网页设计师,0.5-1万/月,杭州,浙江大冲能源科技有限公司,民营公司,50-150人,新能源,07-22,
网页设计师/网站美工,4.5-6千/月,潍坊-高新技术开发区,潍坊嘉信电子科技有限公司,民营公司,少于50人,通信/电信/网络设备,07-22,
网页设计师,5-6千/月,西安-未央区,西安欣瑞宏程教育科技有限责任公司,创业公司,50-150人,教育/培训/院校,07-22,
高级网页设计师/UI设计师,0.8-1万/月,上海-徐汇区,上海美宁计算机软件有限公司,民营公司,50-150人,金融/投资/证券,07-22,
网页交互设计师（UI）,0.8-1万/月,北京-丰台区,北京艺米科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,07-22,
网页设计师,6-8千/月,北京-朝阳区,苏州宽敬信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
网页/UI设计师,0.6-1万/月,武汉-洪山区,武汉乐薇电子商务有限公司,民营公司,50-150人,互联网/电子商务,07-22,
资深/高级网页设计师/网页美工,1-1.5万/月,广州-越秀区,广州八点网络科技有限公司,民营公司,少于50人,计算机软件,07-22,
初级设计师助理（网页）,4.5-6.5千/月,深圳-龙华区,深圳市方讯商贸有限公司,外资（非欧美）,50-150人,通信/电信/网络设备,07-22,
网页图片/平面设计师,6-7千/月,重庆-江北区,重庆光大集团乳业股份有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师,0.8-1万/月,长沙-开福区,长沙诠释网络科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
视觉设计师（游戏网页/海报/类）,1-1.5万/月,深圳-龙岗区,深圳心炉文化咨询有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,07-22,
网页设计师,6-8千/月,重庆,重庆捷路科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,6-8千/月,合肥,上海占域实业有限公司,合资,150-500人,计算机软件,07-22,
网页设计师,8-12万/年,宁波-鄞州区,宁波当曲科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,5-7千/月,广州-越秀区,广州市新干线实业有限公司,民营公司,150-500人,汽车,07-22,
网页设计师,5-6千/月,东莞-长安镇,东莞市恒泰生物科技有限公司,创业公司,少于50人,贸易/进出口,07-22,
网页设计师,4.5-6千/月,哈尔滨,哈尔滨迈远电子商务有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页平面设计师,0.8-1.3万/月,上海-杨浦区,上海雅黑文化传播有限公司,民营公司,少于50人,广告,07-22,
网页设计师,0.8-1万/月,上海-浦东新区,合美惠电子商务有限公司,合资,150-500人,互联网/电子商务,07-22,
网页设计师,4.5-6千/月,重庆,重庆当代整形美容医院有限公司,民营公司,150-500人,医疗/护理/卫生,07-22,
网页设计师,0.8-1万/月,深圳-龙华区,深圳市欣日源科技有限公司,民营公司,50-150人,贸易/进出口,07-22,
网页设计师,6-8千/月,上海-黄浦区,朗阁教育,民营公司,1000-5000人,教育/培训/院校,07-22,
资深网页设计师/电商平面设计,0.8-1万/月,上海-静安区,上海静亭劳务派遣有限公司,民营公司,50-150人,外包服务,07-22,
网页设计师,6-8千/月,苏州,上海上嵌信息科技有限公司,民营公司,,计算机软件,07-22,
网页设计师,5-8千/月,义乌,义乌赢前信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
网页设计师,6-8千/月,上海,羿武科技（上海）有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,6-8千/月,广州-天河区,广州乐芙信息科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
高级网页设计师,6-8千/月,郑州-金水区,河南无限动力软件科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师,4.5-6千/月,东莞-南城区,东莞市联航通信技术有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-22,
网页设计师,4.5-6千/月,上海-奉贤区,上海科伊美生物科技股份有限公司,外资（非欧美）,150-500人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师,6-8千/月,广州-天河区,广州谷创信息科技有限公司,民营公司,,计算机软件,07-22,
网页设计师,6-8千/月,南京-浦口区,江苏良旭智能科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师助理,3-4.5千/月,西安-雁塔区,中科特思信息技术（深圳）有限公司西安分公司,民营公司,50-150人,通信/电信/网络设备,07-22,
网页设计师,4-8千/月,南京-鼓楼区,南京随时信息科技有限公司,民营公司,150-500人,计算机软件,07-22,
网页美工/设计师,4-6千/月,东莞,广东华健医药器械有限公司,民营公司,50-150人,医疗设备/器械,07-22,
网页设计师,4.5-6千/月,济南-历下区,济南富库网络技术有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师助理,3.4-5.8千/月,贵阳-南明区,贵州抒辰电子商务有限公司,民营公司,150-500人,互联网/电子商务,07-22,
跨境电商美工/网页设计师,5-7千/月,广州-天河区,广东唯康教育科技股份有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
网页设计师,6-8千/月,杭州,昆山双宇新信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
高级网页设计师,0.6-1.2万/月,广州-白云区,广州棒谷科技股份有限公司,民营公司,5000-10000人,互联网/电子商务,07-22,
网页设计师,3-6千/月,广州-黄埔区,广州菲康生物技术有限公司,民营公司,50-150人,制药/生物工程,07-22,
网页设计师,4.5-6千/月,广州-白云区,广州拼多多网络科技有限公司,民营公司,500-1000人,计算机软件,07-22,
网页设计师,1-1.5万/月,深圳-南山区,深圳市牛商网络股份有限公司,上市公司,150-500人,互联网/电子商务,07-22,
网页APP UI设计师,6-8千/月,广州-番禺区,广州弘信信息科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.6-1.1万/月,杭州-西湖区,杭州翰臣科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师/网页美工,0.5-1.2万/月,珠海-珠海高新区,众慧通智能技术有限责任公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,4-7.5千/月,重庆-九龙坡区,重庆斐邦科技有限公司,民营公司,,计算机软件,07-22,
（包住+餐补）网页设计师,4-6千/月,南京-鼓楼区,南京详耀网络科技有限公司,民营公司,少于50人,计算机软件,07-22,
亚马逊美工/电商美工/网页设计师,4-6千/月,佛山-南海区,佛山市辰茂贸易有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,5-8千/月,广州-白云区,广州优标教育科技有限公司,民营公司,50-150人,教育/培训/院校,07-22,
网页设计师,6-8千/月,长沙,远大科技集团有限公司,民营公司,1000-5000人,机械/设备/重工,07-22,
网页设计师,6-8千/月,宁波-鄞州区,浙江文谷科技有限公司,民营公司,150-500人,计算机软件,07-22,
网页设计师,4-6千/月,洛阳,洛阳万茗堂电子商务有限公司,民营公司,1000-5000人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师,5-8千/月,广州,广州合优网络科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,1-1.5万/月,上海-嘉定区,上海司顺电子商务有限公司,民营公司,500-1000人,互联网/电子商务,07-22,
网页设计师,6-8千/月,合肥-瑶海区,安徽比达光电科技有限公司,民营公司,50-150人,机械/设备/重工,07-22,
网页设计师,10-15万/年,上海-徐汇区,上海林内有限公司,合资,1000-5000人,机械/设备/重工,07-22,
网页设计师,5-8千/月,武汉-洪山区,武汉医普茂云科技有限公司,民营公司,500-1000人,医疗设备/器械,07-22,
网页设计师助理（电商方向）,4.5-6.5千/月,深圳-宝安区,深圳市航达标识设计制作有限公司,民营公司,少于50人,计算机软件,07-22,
资深网页设计师,1-1.5万/月,上海-杨浦区,上海班田企业形象策划有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,6-6.5千/月,深圳-罗湖区,金至尊,合资,1000-5000人,奢侈品/收藏品/工艺品/珠宝,07-22,
网页设计师,4-7千/月,佛山-禅城区,中企动力科技股份有限公司佛山分公司,合资,5000-10000人,互联网/电子商务,07-22,
网页设计师,4.5-6千/月,成都,四川娇点医学美容医院有限公司,民营公司,150-500人,医疗设备/器械,07-22,
高级设计师 网页设计师,0.8-1万/月,深圳-龙华区,深圳市深度网络有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,6-8千/月,广州-白云区,广州恒立广告有限公司,民营公司,,广告,07-22,
网页设计师,0.5-1万/月,成都-青羊区,万标建设集团有限公司,民营公司,50-150人,建筑/建材/工程,07-22,
网页设计师,7-9千/月,广州-白云区,广州曙光靓肤美容服务有限公司,民营公司,500-1000人,医疗/护理/卫生,07-22,
网页美工/设计师(实习),3-4.5千/月,广州-越秀区,广州八点网络科技有限公司,民营公司,50-150人,外包服务,07-22,
网页设计师,6-9千/月,武汉-东湖新技术产业开发区,武汉研锶信息科技有限公司,民营公司,50-150人,文字媒体/出版,07-22,
网页设计师,0.9-1万/月,上海,上海玫瑰医疗美容医院有限公司,民营公司,150-500人,医疗/护理/卫生,07-22,
资深网页设计师,1-1.8万/月,上海-长宁区,上海传释广告有限公司,民营公司,50-150人,互联网/电子商务,07-22,
（软件园五险一金）网页设计/网站设计师,6-8千/月,武汉-洪山区,一路商机网,民营公司,50-150人,互联网/电子商务,07-22,
