职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
网页设计师,6-8千/月,杭州-拱墅区,北京中公教育科技有限公司,民营公司,10000人以上,教育/培训/院校,07-22,
网页设计师,6-8千/月,南京,南京新华翻译服务有限公司,民营公司,少于50人,文字媒体/出版,07-22,
资深网页设计师,10-18万/年,上海-宝山区,上海永灿信息科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,6-8千/月,上海-浦东新区,上海亿业网络科技发展有限公司,合资,50-150人,互联网/电子商务,07-22,
网页设计师,5-9千/月,无锡-江阴市,江阴海澜之家电子商务有限公司,民营公司,500-1000人,互联网/电子商务,07-22,
资深网页设计师,0.8-1.5万/月,上海-静安区,永钥（上海）信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
网页设计师,6-8千/月,深圳-宝安区,伟能机电设备（深圳）有限公司,上市公司,150-500人,机械/设备/重工,07-22,
网页设计师（web前端与开发）,,武汉-洪山区,“前程无忧”51job.com（光谷）,外资（非欧美）,1000-5000人,互联网/电子商务,07-22,
高级网页设计师（五险一金）,0.7-1万/月,广州-天河区,依波路(广州)贸易有限公司,合资,150-500人,奢侈品/收藏品/工艺品/珠宝,07-22,
网页设计师,4.5-6千/月,宁波-镇海区,宁波易商世纪互联科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页电商设计师/美工,6-8千/月,深圳-龙华区,深圳市东方佳联生物科技有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),07-22,
网页设计师（网页设计/策划  ）,0.5-1万/月,合肥-高新区,安徽领聚数字技术有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师 / 天猫 / 淘宝,6-9千/月,上海-长宁区,牛尔娜露可化妆品（上海）有限公司,外资（非欧美）,150-500人,快速消费品(食品、饮料、化妆品),07-22,
资深淘宝美工/网页设计师/平面设计师,0.6-1.5万/月,广州-白云区,广州市美添贸易有限公司,民营公司,50-150人,互联网/电子商务,07-22,
平面设计师-网页,6-8千/月,上海-闵行区,上海热风时尚企业发展有限公司,民营公司,10000人以上,服装/纺织/皮革,07-22,
网页设计师,0.6-1万/月,上海-普陀区,上海盟创网络科技有限公司,民营公司,50-150人,通信/电信/网络设备,07-22,
网页设计师,0.6-1万/月,苏州,苏州优乐蜂环保科技有限公司,民营公司,50-150人,环保,07-22,
网页设计师,0.8-1万/月,上海-浦东新区,上海富友金融服务集团股份有限公司,民营公司,500-1000人,金融/投资/证券,07-22,
高级网页设计师/美工 天猫京东美工,0.7-1万/月,上海-松江区,上海嘉唯实业集团有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.5-1万/月,上海-闵行区,上海上业信息科技股份有限公司,民营公司,150-500人,计算机软件,07-22,
高级网页设计师,1.2-2.5万/月,上海-闵行区,上海数展文化创意有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师（电商平台）,5-6千/月,珠海-金湾区,珠海美天美科技有限公司,外资（欧美）,150-500人,原材料和加工,07-22,
网页设计师,0.7-1万/月,广州-天河区,广州海鹰信息技术有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,6-8千/月,广州-天河区,广州穗华口腔医院有限公司,民营公司,500-1000人,医疗/护理/卫生,07-22,
网页设计师,0.5-1.1万/月,宁波-鄞州区,宁波得翼信息技术有限公司,民营公司,150-500人,互联网/电子商务,07-22,
网页设计师,0.8-1万/月,昆山,昆山蒲公英智能科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,5-7千/月,南京-雨花台区,南京和善园食品生产有限公司,民营公司,150-500人,餐饮业,07-22,
急聘网页设计师,0.6-1.2万/月,东莞-南城区,广东多谷网络科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计/UI设计师/平面设计,4.5-6千/月,青岛,青岛迈科思软件有限责任公司,民营公司,少于50人,计算机软件,07-22,
美工设计师/美工设计/网页美工,4.5-6千/月,广州-白云区,广州宏阳网络科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,3-4.5千/月,大连-高新园区,大连联众共达科技发展有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计/UI设计师,4.5-6千/月,青岛-市南区,青岛青软科技有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师,6-8千/月,金华,金华市创杰信息技术有限公司,民营公司,50-150人,互联网/电子商务,07-22,
