职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
人工智能算法工程师,1.3-2.6万/月,福州,长威信息科技发展股份有限公司,民营公司,500-1000人,计算机软件,07-22,
人工智能课程讲师,4-8千/月,青岛-市南区,丹东茂森企业管理有限公司,民营公司,,物业管理/商业中心,07-22,
搜索引擎开发工程师(大数据人工智能产品)(TJ0011),2-2.5万/月,上海-浦东新区,万得信息技术股份有限公司（Wind资讯）,民营公司,1000-5000人,计算机软件,07-22,
人工智能机体健康管理研发人员,1-2万/月,深圳-南山区,深圳市易二三科技有限公司,民营公司,50-150人,计算机软件,07-22,
方案工程师（人工智能）,1-2万/月,杭州-滨江区,杭州瑞亚教育科技有限公司,民营公司,50-150人,教育/培训/院校,07-22,
人工智能工程师,1.8-2.5万/月,广州-番禺区,广州创显科教股份有限公司,民营公司,500-1000人,多元化业务集团公司,07-22,
大客户代表/新零售/人工智能/西安,0.8-1.5万/月,西安-高新技术产业开发区,上海悠络客电子科技股份有限公司,合资,150-500人,互联网/电子商务,07-22,
6k人工智能技术助理（包吃住）,6-8千/月,深圳-宝安区,深圳市云思创享科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
AI人工智能工程师,1-2万/月,成都-高新区,成都数维通信技术有限公司,民营公司,50-150人,通信/电信/网络设备,07-22,
人工智能与湍流/转捩模型研究岗,15-20万/年,成都-天府新区,中国空气动力研究与发展中心计算空气动力研究所,事业单位,1000-5000人,航天/航空,07-22,
人工智能应用教师,0.8-1.2万/月,广州,广州现代信息工程职业技术学院,民营公司,500-1000人,教育/培训/院校,07-22,
人工智能处理器工程师,20-40万/年,深圳-龙岗区,深圳锐越微技术有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能产品助理,4.5-6千/月,西安-雁塔区,中科特思信息技术（深圳）有限公司西安分公司,民营公司,50-150人,通信/电信/网络设备,07-22,
AI人工智能工程师助理8k,1-1.5万/月,深圳-龙华区,购乐贸易（深圳）有限公司,民营公司,150-500人,互联网/电子商务,07-22,
人工智能开发实习生,4.5-6千/月,沈阳,沈阳中辉云科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
耐能产品经理(人工智能方向),1.2-2万/月,深圳,深圳市芯智科技有限公司,外资（非欧美）,150-500人,电子技术/半导体/集成电路,07-22,
VR人工智能销售工程师,0.8-1.6万/月,深圳-龙华区,深圳市西锁智能技术有限公司,民营公司,50-150人,贸易/进出口,07-22,
资深人工智能算法工程师（目标检测识别方向）,2-4万/月,上海-徐汇区,上海富瀚微电子股份有限公司,合资,150-500人,电子技术/半导体/集成电路,07-22,
人工智能开发工程师,1.2-1.8万/月,深圳-南山区,深圳国泰安教育技术有限公司,合资,500-1000人,教育/培训/院校,07-22,
人工智能开发工程师,1-2万/月,成都-高新区,北京御芯微科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
人工智能助教,6-8千/月,宁波-高新区,北京里兰教育科技有限公司,创业公司,少于50人,教育/培训/院校,07-22,
人工智能教师,5-8千/月,武汉,武汉乐群教育投资有限公司,民营公司,500-1000人,教育/培训/院校,07-22,
人工智能工程师,1.2-2万/月,深圳-宝安区,深圳海润天恒科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
人工智能应用工程师,1-1.5万/月,广州-黄埔区,赛业（苏州）生物科技有限公司广州分公司,外资（欧美）,150-500人,制药/生物工程,07-22,
人工智能工程师,1-1.5万/月,济南-历城区,山东康准信息科技有限公司,民营公司,50-150人,计算机软件,07-22,
产品经理（智能穿戴/人工智能方向）,1.2-1.8万/月,深圳-南山区,深圳未来立体教育科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
AI算法工程师（人工智能ECG方向）(J10289),2-2.5万/月,杭州-滨江区,善诚科技发展（上海）有限公司,外资（非欧美）,500-1000人,计算机服务(系统、数据服务、维修),07-22,
人工智能算法工程师,2.5-5万/月,武汉-洪山区,深圳市财富趋势科技股份有限公司,上市公司,150-500人,计算机软件,07-22,
人工智能工程师,2-5万/月,杭州-萧山区,浙江杜比医疗科技有限公司,民营公司,50-150人,医疗设备/器械,07-22,
PMC工程师（人工智能与机器人教育研究方向）,6-8千/月,湖州-吴兴区,浙江大学湖州研究院,事业单位,少于50人,学术/科研,07-22,
人工智能开发经理,2-2.5万/月,广州-天河区,广州天鹏计算机科技有限公司,民营公司,150-500人,计算机软件,07-22,
人工智能硬件工程师,0.8-1.5万/月,深圳-龙华区,拓扑联创（北京）科技有限公司,民营公司,少于50人,航天/航空,07-22,
嵌入式开发工程师（人工智能方向）,1.1-2.2万/月,广州-番禺区,广州慧睿思通科技股份有限公司,民营公司,150-500人,通信/电信/网络设备,07-22,
人工智能算法工程师/教研员,0.9-2万/月,南京,江苏金智教育信息股份有限公司,民营公司,1000-5000人,计算机软件,07-22,
人工智能工程师（无锡）,2.5-3万/月,无锡-梁溪区,国辉金控（江苏）供应链有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-22,
软件工程师（人工智能方向）,1-1.5万/月,合肥,北京君正集成电路股份有限公司,上市公司,150-500人,电子技术/半导体/集成电路,07-22,
AI人工智能实习生,6-8千/月,沈阳,沈阳辉浩科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
人工智能应用工程师,1.5-2.6万/月,北京-丰台区,扬州万方电子技术有限责任公司,民营公司,150-500人,计算机软件,07-22,
人工智能软件架构师,1.2-2.4万/月,无锡-滨湖区,太初（无锡）电子科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
人工智能软件销售,1-1.5万/月,广州-越秀区,广州市羽阳信息科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
AI人工智能开发工程师,1.5-2万/月,浙江省,苏州申虹昀企业管理有限公司,外资（非欧美）,,电子技术/半导体/集成电路,07-22,
人工智能技术助理,6-8千/月,深圳-光明区,广东中恒工程机械有限公司,民营公司,,建筑/建材/工程,07-22,
生物大数据应用中心-人工智能专家,1.5-2万/月,长沙-芙蓉区,华智生物技术有限公司,民营公司,150-500人,学术/科研,07-22,
人工智能研究员,1.5-3万/月,深圳-南山区,长园创新技术（深圳）有限公司,上市公司,150-500人,学术/科研,07-22,
人工智能工程师,1.2-2万/月,重庆-沙坪坝区,重庆足下科技有限公司,民营公司,500-1000人,计算机软件,07-22,
能源/人工智能科学家,4-5万/月,成都-天府新区,清华四川能源互联网研究院,事业单位,150-500人,电气/电力/水利,07-22,
总经理助理（人工智能方向）,0.8-1.8万/月,广州-天河区,广东毓秀集团有限公司,民营公司,150-500人,多元化业务集团公司,07-22,
人工智能研发工程师,1.5-3万/月,杭州-西湖区,深圳市潮流网络技术有限公司杭州分公司,民营公司,150-500人,通信/电信/网络设备,07-22,
AI人工智能实习生-可接受无经验,0.8-1万/月,杭州-余杭区,杭州爱软测信息技术有限公司,外资（非欧美）,50-150人,计算机软件,07-22,
Python+人工智能讲师,1.5-2万/月,北京-房山区,北京晟景秀程教育科技有限责任公司,民营公司,50-150人,教育/培训/院校,07-22,
人工智能工程师,2-3万/月,苏州-工业园区,苏州金瑞阳信息科技有限责任公司,民营公司,50-150人,计算机软件,07-22,
