职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
投资总监（人工智能）,35-40万/年,南京-建邺区,南京市创新投资集团有限责任公司,国企,50-150人,金融/投资/证券,07-23,
人工智能开发工程师,6-8千/月,上海-静安区,上海数久信息科技有限公司,民营公司,少于50人,计算机软件,07-23,
AI人工智能开发工程师（Java),1-1.5万/月,武汉-洪山区,北京联动北方科技有限公司,民营公司,,计算机软件,07-23,
人工智能算法工程师,1.5-2万/月,上海-浦东新区,上海透景生命科技股份有限公司,上市公司,500-1000人,医疗设备/器械,07-23,
AI人工智能实习生-可接受无经验,0.8-1万/月,杭州-余杭区,杭州多测师软件技术有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能工程师,1.5-2.5万/月,苏州,江苏康众数字医疗科技股份有限公司,合资,50-150人,医疗设备/器械,07-23,
AI人工智能实习生-可接受无经验,0.8-1万/月,杭州-余杭区,杭州多测师软件技术有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能工程师,1.5-2.5万/月,苏州,江苏康众数字医疗科技股份有限公司,合资,50-150人,医疗设备/器械,07-23,
人工智能产业招商经理,4-8千/月,广州-南沙区,广州国际人工智能产业研究院有限公司,民营公司,少于50人,中介服务,07-23,
人工智能资深算法工程师（图像、视频方向）,3-4万/月,上海-浦东新区,中星电子股份有限公司,合资,150-500人,电子技术/半导体/集成电路,07-23,
人工智能工程师,2-2.5万/月,上海-杨浦区,江苏达海智能系统股份有限公司,上市公司,150-500人,建筑/建材/工程,07-23,
Java开发工程师（人工智能）,1.2-2万/月,武汉-硚口区,湖北普罗劳格科技股份有限公司,民营公司,500-1000人,交通/运输/物流,07-23,
医学图像人工智能,2-4万/月,深圳-宝安区,卡本（深圳）医疗器械有限公司,民营公司,少于50人,医疗设备/器械,07-23,
人工智能算法工程师,1.5-2万/月,成都-双流区,上海交通大学四川研究院,事业单位,50-150人,学术/科研,07-23,
嵌入式人工智能工程师,2-3.5万/月,南京-栖霞区,南京美基森信息技术有限公司,民营公司,少于50人,计算机软件,07-23,
算法及人工智能开发工程师,0.9-1.4万/月,北京-朝阳区,民航电信开发有限责任公司,国企,150-500人,通信/电信运营、增值服务,07-23,
猎头顾问(人工智能/AI/IT互联网方向）,0.8-1万/月,成都,成都海猎网络科技有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
销售-工业人工智能,15-20万/年,上海-浦东新区,恒意得机器视觉,民营公司,50-150人,仪器仪表/工业自动化,07-23,
人工智能工程师(算法）,0.6-1.6万/月,南京-建邺区,南京泓图人工智能技术研究院有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能产品经理,2-3万/月,北京,字节跳动,民营公司,10000人以上,互联网/电子商务,07-23,
人工智能家居检测助理/薪资高,6-8千/月,深圳-龙岗区,深圳市融客巴士网络科技有限公司,民营公司,50-150人,计算机软件,07-22,
包住/人工智能技术助理,4.3-7.8千/月,深圳-福田区,西安思源科创轨道交通技术开发有限公司,民营公司,少于50人,交通/运输/物流,07-22,
教研主任（人工智能）,1.5-2.5万/月,北京-海淀区,慧科教育科技集团有限公司,民营公司,1000-5000人,教育/培训/院校,07-22,
人工智能技术储备实习生/双休,6-8千/月,深圳-龙岗区,北京市圣瑞物业服务有限公司西安市第三分公司,民营公司,50-150人,计算机软件,07-22,
人工智能检测实习生,5.2-7.2千/月,深圳-南山区,陕西万欣商贸有限公司,民营公司,少于50人,贸易/进出口,07-22,
人工智能算法高级工程师,2-4万/月,北京,中国科学院自动化研究所,事业单位,500-1000人,政府/公共事业,07-22,
人工智能检测/双休包住,5-7.6千/月,深圳-龙岗区,深圳市破茧网络技术有限公司,民营公司,50-150人,计算机软件,07-22,
6k+人工智能产品检测助理,6-8.2千/月,深圳-龙华区,德森特软件有限公司,民营公司,少于50人,计算机软件,07-22,
人工智能测试/学徒,6-8千/月,深圳-南山区,深圳天弘福科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
销售主管/经理（人工智能软件）,0.8-1.2万/月,上海-浦东新区,达观数据,民营公司,150-500人,计算机软件,07-22,
人工智能产品助理,4.5-6千/月,西安-碑林区,西安未来云信息科技有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能,6-8千/月,西安-雁塔区,西安凡得创智电子有限公司,民营公司,50-150人,贸易/进出口,07-22,
人工智能检测/双休/包住,6-8千/月,深圳-南山区,深圳市华富庆电子商务有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能/医学图像算法（ECG心电图方向）,2-4万/月,杭州,杭州脉流科技有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能销售专员1w+双休,1.2-2万/月,杭州-萧山区,杭州爱才科技有限公司,国企,,贸易/进出口,07-22,
销售工程师（人工智能部门）,0.8-1.2万/月,广州,广州中长康达信息技术有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-22,
人工智能工程师,3-5万/月,上海-浦东新区,上海蕴业信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
人工智能工程师,1.5-2万/月,上海-静安区,上海枂特环保科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-22,
总经理（人工智能）,100-200万/年,南京-栖霞区,中兴发展有限公司,民营公司,1000-5000人,房地产,07-22,
人工智能开发工程师,0.8-1.5万/月,广州-天河区,广州市中贸企业管理有限公司,民营公司,150-500人,互联网/电子商务,07-22,
软件测试工程师（人工智能事业部）,1-1.5万/月,珠海,远光软件股份有限公司,上市公司,1000-5000人,计算机软件,07-22,
Artificial Intelligence Research Engineer/人工智能研究工程师_CI,,上海,博世（中国）投资有限公司,外资（欧美）,10000人以上,汽车,07-22,
全栈软件开发工程师( 人工智能/数据科学 应用方向),1-1.5万/月,成都-高新区,博世（上海）安保系统有限公司成都高新分公司（博世通讯中心）,外资（欧美）,500-1000人,外包服务,07-22,
自动驾驶/智能座舱 人工智能/大数据工程师 _2022_BCSC,,无锡,博世创新软件开发（无锡）有限公司,外资（欧美）,,汽车,07-22,
人工智能工程师,1-1.5万/月,武汉-东湖新技术产业开发区,湖北美和易思教育科技有限公司,民营公司,500-1000人,教育/培训/院校,07-22,
开发工程师（人工智能方向）,20-50万/年,广州-白云区,广东机场白云信息科技有限公司,国企,150-500人,计算机服务(系统、数据服务、维修),07-22,
房产抵押贷款+销售+人工智能,1-1.5万/月,苏州,苏州农益晨科技服务有限公司,民营公司,50-150人,金融/投资/证券,07-22,
人工智能,5-8.5千/月,重庆-九龙坡区,重庆得资商务信息咨询有限公司,民营公司,,金融/投资/证券,07-22,
人工智能专家,2-2.5万/月,东莞-松山湖区,中国科学院云计算中心,事业单位,500-1000人,计算机服务(系统、数据服务、维修),07-22,
研发工程师（人工智能),0.9-1.8万/月,成都,民航成都电子技术有限责任公司,国企,500-1000人,电子技术/半导体/集成电路,07-22,
人工智能+金牌产品经理,1-1.5万/月,苏州-工业园区,苏州青天网络科技有限公司,民营公司,50-150人,金融/投资/证券,07-22,
大数据、人工智能高级程序员,1.2-1.5万/月,深圳-龙华区,卡尔丹顿服饰股份有限公司,合资,1000-5000人,服装/纺织/皮革,07-22,
人工智能算法工程师,20-50万/年,上海-浦东新区,上海启迪睿视智能科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
产品专员（互联网人工智能）,6-8千/月,佛山-南海区,广州庚亿信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
人工智能检测/双休/包住,6-8千/月,深圳-宝安区,深圳福逸科技有限公司,民营公司,50-150人,计算机软件,07-22,
西门子 数字化工业 人工智能研究员 AI Researcher,1.5-2万/月,北京-朝阳区,西门子（中国）有限公司Siemens Ltd. China,外资（欧美）,10000人以上,机械/设备/重工,07-22,
医学影像人工智能工程师,1.2-2.2万/月,广州-天河区,易构智能科技（广州）有限公司,民营公司,少于50人,医疗/护理/卫生,07-22,
人工智能工程师（AI）,1.5-2千/月,苏州-工业园区,苏州诚联帮众信息技术有限公司,合资,150-500人,互联网/电子商务,07-22,
人工智能算法工程师,1.5-2.5万/月,广州-黄埔区,精标科技集团股份有限公司,上市公司,50-150人,多元化业务集团公司,07-22,
人工智能算法工程师,1.5-2万/月,深圳-南山区,深圳市广和通无线股份有限公司,上市公司,1000-5000人,通信/电信/网络设备,07-22,
大数据人工智能远程讲座,2000元/天,上海-虹口区,上海锐格软件有限公司,民营公司,少于50人,计算机软件,07-22,
人工智能检测员（软件测试方向）,6-8千/月,深圳-宝安区,深圳市鲲鹏物联网科技有限责任公司,民营公司,50-150人,计算机软件,07-22,
人工智能工程师助理,4.5-6千/月,武汉-江夏区,武汉捌加柒科技有限公司,民营公司,150-500人,计算机软件,07-22,
江苏诺丽人工智能有限责任公司,6-8千/月,南京,江苏诺丽慧农农业科技有限公司,民营公司,少于50人,农/林/牧/渔,07-22,
信号处理及人工智能算法和设计工程师,25-60万/年,上海-浦东新区,"Sytrons Technology Co.,Ltd. 思信电子科技有限公司",民营公司,150-500人,电子技术/半导体/集成电路,07-22,
人工智能开发工程师,10-30万/年,苏州-高新区,名硕电脑（苏州）有限公司,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,07-22,
人工智能开发工程师,1-3万/月,广州-黄埔区,广东省新一代通信与网络创新研究院,非营利组织,150-500人,通信/电信运营、增值服务,07-22,
人工智能学院副院长,30-60万/年,深圳-福田区,深圳市宝德投资控股有限公司,民营公司,1000-5000人,多元化业务集团公司,07-22,
人工智能研究员（生物医学）,1-1.5万/月,广州-海珠区,兆瑞医学（深圳）有限公司,民营公司,少于50人,医疗设备/器械,07-22,
销售经理（人工智能产品）,0.8-1.3万/月,合肥,合肥赛为智能有限公司,上市公司,150-500人,电子技术/半导体/集成电路,07-22,
人工智能研发工程师（HPC-青岛） (MJ001422),1.5-2.5万/月,青岛-崂山区,曙光信息产业股份有限公司,国企,1000-5000人,计算机硬件,07-22,
人工智能猎头顾问,6-8千/月,重庆,重庆市一亩田电子商务有限公司,民营公司,少于50人,互联网/电子商务,07-22,
人工智能算法工程师,1-2万/月,上海-闵行区,上海解颐生物科技有限公司,民营公司,少于50人,制药/生物工程,07-22,
图像识别工程师（人工智能）,0.8-1.3万/月,成都-金牛区,四川众合智控科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
人工智能计算机视觉方向老师,1-1.5万/月,重庆-九龙坡区,重庆市江北区新未来职业技术学校,民营公司,少于50人,教育/培训/院校,07-22,
人工智能算法和cmodel工程师,,上海-浦东新区,芯原微电子（上海）股份有限公司,上市公司,1000-5000人,电子技术/半导体/集成电路,07-22,
高校ICT培训课程产品经理（人工智能方向）,1.4-2万/月,南京-江宁区,南京优速网络科技有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能算法工程师,1-1.5万/月,无锡-滨湖区,国家超级计算无锡中心,国企,150-500人,计算机软件,07-22,
人工智能软件工程师（图像处理）,1.5-2万/月,苏州,凯吉凯精密电子技术开发（苏州）有限公司,外资（非欧美）,少于50人,机械/设备/重工,07-22,
科学老师（人工智能方向）,0.8-1.5万/月,广州-增城区,广州市增城区广东外语外贸大学附设实验学校,民营公司,150-500人,教育/培训/院校,07-22,
人工智能产品经理,2-5万/月,深圳,深圳市悦保科技有限公司,外资（欧美）,50-150人,计算机软件,07-22,
人工智能营销经理,3.5-7千/月,重庆-渝北区,重庆兆光科技股份有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能系统架构师(专家）,30-70万/年,西安-高新技术产业开发区,西安三星电子研究所,外资（非欧美）,150-500人,电子技术/半导体/集成电路,07-22,
应用人工智能的5G关键技术研究,1.5-2.5万/月,北京-朝阳区,北京三星通信技术研究有限公司,外资（非欧美）,500-1000人,通信/电信/网络设备,07-22,
人工智能技术助理/高薪双休,6-8千/月,南京-玄武区,南京达迩科技有限公司,民营公司,,计算机软件,07-22,
Python人工智能讲师,12-18万/年,武汉-洪山区,北京金信润天信息技术股份有限公司武汉分公司,民营公司,50-150人,通信/电信/网络设备,07-22,
机器视觉软件开发主管（精于人工智能算法、机器视觉）,25-30万/年,广州,广州伟之龙科技开发有限公司,民营公司,少于50人,仪器仪表/工业自动化,07-22,
7k+急聘人工智能检测助理,0.8-1万/月,深圳-龙岗区,西安慧晶智能科技有限公司,民营公司,150-500人,计算机软件,07-22,
人工智能,4.5-9千/月,重庆-九龙坡区,重庆凡事达科技有限公司,民营公司,50-150人,计算机软件,07-22,
AI人工智能工程师,1.5-2万/月,成都-高新区,成都翼比特自动化设备有限公司,民营公司,50-150人,电气/电力/水利,07-22,
人工智能测试助理（双休）,6-7.8千/月,深圳-宝安区,邀鹤企业管理咨询（上海）有限公司,民营公司,150-500人,通信/电信/网络设备,07-22,
产品经理（人工智能）,1.5-3万/月,深圳-南山区,深圳市比一比网络科技有限公司,民营公司,150-500人,互联网/电子商务,07-22,
人工智能/AI/深度学习算法工程师,1.5-3.5万/月,重庆-南岸区,重庆云网科技股份有限公司,上市公司,150-500人,计算机软件,07-22,
人工智能测试助理（双休）,6-8千/月,深圳-龙华区,牛牛（深圳）人工智能有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能测试助理（双休）,6-8千/月,深圳-宝安区,深圳市儒艮大数据有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能训练师-帝派,0.6-1.2万/月,北京-朝阳区,北京神州泰岳软件股份有限公司,上市公司,1000-5000人,计算机软件,07-22,
人工智能工程师(J10590),0.7-1.5万/月,珠海,珠海金智维信息科技有限公司,上市公司,500-1000人,计算机软件,07-22,
人工智能算法科学家,2.5-5万/月,上海-浦东新区,西湖生物医药科技（上海）有限公司,民营公司,少于50人,制药/生物工程,07-22,
人工智能产品测试助理/13薪,6-8千/月,深圳-南山区,西安力控元泽科技有限公司,合资,150-500人,计算机软件,07-22,
人工智能/机器学习工程师,1.5-2.5万/月,武汉-东湖新技术产业开发区,中山联合光电科技股份有限公司,上市公司,1000-5000人,计算机软件,07-22,
系统架构设计师（人工智能方向）,,北京,中邮信息科技（北京）有限公司,国企,500-1000人,计算机软件,07-22,
人工智能算法工程师（动作捕捉）,3-4万/月,上海-黄浦区,上海捷捷健身有限公司,民营公司,50-150人,互联网/电子商务,07-22,
人工智能AI算法工程师/AI智能机器人训练师/AI训练师,1.5-2.5万/月,上海-杨浦区,大连隆基信息技术有限公司,外资（非欧美）,150-500人,计算机软件,07-22,
人工智能专家（家电）,3-6万/月,深圳-南山区,深圳国爱全电化智慧科技有限公司,民营公司,少于50人,家具/家电/玩具/礼品,07-22,
大数据+AI（人工智能）设计开发高级工程师,1.5-3万/月,深圳-南山区,深圳仙瞳资本管理有限公司,民营公司,少于50人,金融/投资/证券,07-22,
项目经理（大数据人工智能方向）,25-30万/年,上海-静安区,中译语通信息科技（上海）有限公司,国企,50-150人,计算机服务(系统、数据服务、维修),07-22,
博士-算法/大数据/人工智能/流体仿真,2-2.5万/月,青岛-黄岛区,青岛笃行商贸有限公司,民营公司,50-150人,机械/设备/重工,07-22,
人工智能应用软件工程师,0.7-1.3万/月,广州-黄埔区,广州英码信息科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
人工智能算法工程师（图像视觉）,2-4万/月,深圳,深圳中科保泰科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),07-22,
销售顾问（人工智能）,12-20万/年,成都,锦江区蝶凌科技服务部,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
人工智能研究员,2-3万/月,广州-越秀区,北京普睿德利科技有限公司,民营公司,50-150人,计算机软件,07-22,
开发工程师（人工智能）,0.7-1.4万/月,昆明-官渡区,云南云电同方科技有限公司,国企,150-500人,计算机软件,07-22,
人工智能机器学习算法工程师,2-3万/月,北京-海淀区,北京嘉诚瑞杰信息技术有限公司,民营公司,500-1000人,计算机软件,07-22,
人工智能人力资源总监（张江）,3-3.5万/月,上海-浦东新区,上海川土微电子有限公司,合资,50-150人,电子技术/半导体/集成电路,07-22,
医学图像分析资深专家（方向：人工智能）,50-120万/年,北京-海淀区,上海联影医疗科技股份有限公司,民营公司,5000-10000人,医疗设备/器械,07-22,
人工智能算法工程师,1-1.5万/月,嘉兴,嘉兴朝云帆生物科技有限公司,民营公司,50-150人,制药/生物工程,07-22,
人工智能+信贷管理,0.8-1万/月,苏州,苏州东安投资管理有限公司,民营公司,少于50人,信托/担保/拍卖/典当,07-22,
人工智能研发工程师,0.7-1.4万/月,南京-栖霞区,肾泰网健康科技（南京）有限公司,民营公司,50-150人,医疗/护理/卫生,07-22,
物联网中心负责人/科研管理/物联网/人工智能/智能制造,15-30万/年,深圳-南山区,深圳赛西信息技术有限公司,国企,50-150人,检测，认证,07-22,
人工智能算法工程师,1.5-4万/月,深圳-龙华区,深圳市赛菲姆科技有限公司,民营公司,150-500人,通信/电信/网络设备,07-22,
人工智能工程师,1.2-2万/月,福州,天瑞康健（福州）信息科技有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能科学研究院执行院长,2-6万/月,广州,广州飞瑞敖电子科技股份有限公司,上市公司,50-150人,通信/电信/网络设备,07-22,
人工智能算法研究员,3-6万/月,深圳-南山区,深圳艾文哲思科技有限公司,民营公司,少于50人,计算机软件,07-22,
外贸业务员(智能洗地机/人工智能产品),0.8-1.6万/月,深圳-宝安区,深圳联合兴华科技有限公司,民营公司,150-500人,贸易/进出口,07-22,
AI人工智能实习生,6-8千/月,深圳-龙华区,深圳市佳创业科技有限公司,民营公司,150-500人,计算机软件,07-22,
人工智能工程师,1-1.5万/月,深圳-龙岗区,深圳市诺维尔科技互联网有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
人工智能专家,50-60万/年,武汉-洪山区,中物智建（武汉）科技有限公司,民营公司,50-150人,仪器仪表/工业自动化,07-22,
Java开发工程师（人工智能）,1.5-3万/月,深圳-南山区,深圳市丰巢网络技术有限公司,合资,1000-5000人,互联网/电子商务,07-22,
人工智能（图像算法）工程师,0.8-1.2万/月,成都-锦江区,必孚（成都）科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
产品经理 （人工智能方向）,1.2-1.8万/月,上海-浦东新区,上海志学文化传播有限公司,民营公司,少于50人,教育/培训/院校,07-22,
算法工程师-人工智能,1.5-2.5万/月,苏州-工业园区,知行汽车科技（苏州）有限公司,创业公司,50-150人,汽车,07-22,
营销策划专员（SAAS、人工智能）,0.7-1.1万/月,深圳-南山区,深圳市赛瑞产业研究有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),07-22,
Android开发工程师(人工智能方向）,1.5-2万/月,武汉,武汉力龙信息科技股份有限公司,上市公司,150-500人,计算机软件,07-22,
高级人工智能数据分析师(华定科技),1.5-3万/月,中山-西区,中山快享成贸易有限公司,外资（非欧美）,50-150人,贸易/进出口,07-22,
人工智能运营岗,0.6-1万/月,广州-天河区,广东联通通信建设有限公司,国企,50-150人,通信/电信/网络设备,07-22,
人工智能算法高级科学家,3-5万/月,深圳-福田区,深圳晶泰科技有限公司,民营公司,150-500人,制药/生物工程,07-22,
人工智能算法工程师,1.9-3.6万/月,上海-徐汇区,美国K2软件（中国）,外资（非欧美）,50-150人,计算机软件,07-22,
人工智能项目主管,4-5万/月,北京-朝阳区,恩梯梯数据（中国）信息技术有限公司,合资,1000-5000人,计算机软件,07-22,
高级产品经理（人工智能）,1.5-3万/月,杭州,浙江宇视科技有限公司,民营公司,1000-5000人,计算机软件,07-22,
人工智能销售,1.5-2万/月,杭州-萧山区,杭州青未广告策划有限公司,民营公司,150-500人,广告,07-22,
人工智能（报告机）,1.5-2万/月,广州-黄埔区,华南病原检测服务（广州）有限公司,民营公司,50-150人,医疗/护理/卫生,07-22,
算法专家（图像处理和人工智能方向）,3-4万/月,上海-浦东新区,上海海橘信息科技有限公司,外资（欧美）,150-500人,计算机软件,07-22,
人工智能销售1W+五险一金,1.5-2万/月,杭州-萧山区,杭州青未广告策划有限公司,民营公司,,快速消费品(食品、饮料、化妆品),07-22,
咨询顾问（人工智能方向）,1-1.5万/月,广州-天河区,广州正略钧策企业管理咨询有限公司,民营公司,500-1000人,专业服务(咨询、人力资源、财会),07-22,
销售经理（人工智能 图像技术）,1.5-2.5万/月,深圳-宝安区,深圳市海谱纳米光学科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,07-22,
技术架构师（人工智能）,2.5-3.5万/月,南京-江宁区,朗坤智慧科技股份有限公司,民营公司,500-1000人,计算机软件,07-22,
人工智能（AI）研发工程师-福州,0.6-1.5万/月,福州,中电福富信息科技有限公司,国企,1000-5000人,计算机软件,07-22,
人工智能应用工程师,0.8-1.6万/月,扬州,扬州万方电子技术有限责任公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
人工智能算法工程师,1.5-2万/月,重庆-九龙坡区,重庆览辉信息技术有限公司,民营公司,50-150人,计算机软件,07-22,
人工智能专任教师,0.6-1.2万/月,大连,大连东软信息学院,非营利组织,500-1000人,教育/培训/院校,07-22,
人工智能科研工程师,1.5-2万/月,北京-海淀区,中国信息通信研究院,事业单位,1000-5000人,通信/电信/网络设备,07-22,
人工智能训练师主管,1.2-1.8万/月,上海-杨浦区,艾格拉信息咨询（北京）有限公司,外资（非欧美）,5000-10000人,外包服务,07-22,
猎头助理（电子/人工智能）,4-9千/月,成都-武侯区,成都道合企业管理咨询有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),07-22,
人工智能架构师,2-3万/月,长沙-岳麓区,北海石基信息技术有限公司,上市公司,150-500人,计算机软件,07-22,
人工智能开发工程师(J10396),2.5-3万/月,深圳-南山区,深圳昂楷科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-22,
