职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
线缆测试工程师,0.6-1万/月,苏州-工业园区,UL中国,外资（欧美）,500-1000人,检测，认证,07-22,
电力电子测试工程师,20-30万/年,无锡,博世汽车柴油系统有限公司,合资,1000-5000人,汽车,07-22,
测试工程师（锡梅路工厂）,0.8-1万/月,无锡-无锡新区,阿特拉斯·科普柯（无锡）压缩机有限公司,外资（欧美）,500-1000人,机械/设备/重工,07-22,
智家健康-产品测试工程师,1-1.2万/月,青岛,海尔智家股份有限公司,上市公司,10000人以上,家具/家电/玩具/礼品,07-22,
发动机测试工程师,0.8-1.4万/月,无锡-无锡新区,卡特彼勒技术研发（中国）有限公司,外资（欧美）,150-500人,机械/设备/重工,07-22,
测试工程师（灯具产品）-广州-04891,,广州-天河区,TUV南德意志集团,外资（欧美）,1000-5000人,检测，认证,07-22,
化学测试工程师,4-7千/月,成都,SGS通标标准技术服务有限公司四川分公司,合资,50-150人,检测，认证,07-22,
高级自动化测试工程师-飞书,2.5-5万/月,深圳,字节跳动,民营公司,10000人以上,互联网/电子商务,07-22,
游戏自动化测试工程师 Test Automation Engineer,10-15万/年,上海,上海育碧电脑软件有限公司,外资（欧美）,500-1000人,计算机软件,07-22,
通信测试工程师,0.6-1万/月,苏州,江苏富士通通信技术有限公司,外资（非欧美）,150-500人,通信/电信运营、增值服务,07-22,
测试工程师(J10112),6-8千/月,杭州-江干区,九阳股份有限公司,上市公司,5000-10000人,家具/家电/玩具/礼品,07-22,
测试工程师,12-18万/年,佛山-顺德区,广东万和新电气股份有限公司,上市公司,5000-10000人,家具/家电/玩具/礼品,07-22,
测试工程师,0.8-1.5万/月,深圳-南山区,深圳市昇润科技有限公司,外资（非欧美）,50-150人,电子技术/半导体/集成电路,07-22,
软件测试工程师,0.6-1万/月,深圳-宝安区,广东云蜘蛛科技股份有限公司,民营公司,50-150人,计算机软件,07-22,
测试工程师,0.8-1万/月,重庆,重庆先锋渝州电器有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
测试工程师（上海） (MJ000798),1.5-2.5万/月,上海-普陀区,开思时代科技（深圳）有限公司,民营公司,1000-5000人,互联网/电子商务,07-22,
硬件测试工程师,0.8-1.2万/月,深圳-宝安区,深圳新联胜光电科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
电子测试工程师,4.5-6千/月,武汉-江夏区,武汉市蒙泰科技发展有限责任公司,民营公司,50-150人,计算机软件,07-22,
初级测试工程师（年底双薪）,0.8-1万/月,长沙-芙蓉区,深圳八零后信息咨询有限公司,民营公司,,专业服务(咨询、人力资源、财会),07-22,
硬件测试工程师,0.8-1万/月,无锡-无锡新区,无锡盟创网络科技有限公司,外资（非欧美）,500-1000人,通信/电信/网络设备,07-22,
软件测试工程师-年底双薪,6-8千/月,长沙-芙蓉区,湖南星傲科技有限公司,民营公司,,专业服务(咨询、人力资源、财会),07-22,
软件测试工程师,0.7-1.2万/月,广州-海珠区,广州市福思特科技有限公司,民营公司,150-500人,计算机软件,07-22,
软件测试工程师,0.8-1.3万/月,深圳-南山区,深圳劲嘉集团股份有限公司,上市公司,1000-5000人,印刷/包装/造纸,07-22,
高级测试工程师,0.8-1万/月,沈阳-和平区,沈阳洪瑞源信息技术有限公司,民营公司,50-150人,计算机软件,07-22,
半导体测试工程师,0.8-1.4万/月,苏州-工业园区,苏州德斯倍电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
测试工程师（双休）,15-25万/年,宁波-高新区,宁波伊士通技术股份有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
测试工程师 Test Engineer,0.8-1.2万/月,苏州-工业园区,苏州莫迪温空气控制技术有限公司,外资（欧美）,50-150人,机械/设备/重工,07-22,
信号完整性测试工程师（周末双休）,0.6-1万/月,深圳-南山区,深圳国实检测技术有限公司,民营公司,少于50人,检测，认证,07-22,
软件测试工程师,6-8千/月,无锡,无锡安真通科技有限公司,民营公司,50-150人,计算机软件,07-22,
光学测试工程师,1.2-2万/月,深圳-宝安区,深圳市创鑫激光股份有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,07-22,
洁净室测试工程师,5-7千/月,广州-黄埔区,广东微化检验科技有限公司,民营公司,少于50人,检测，认证,07-22,
软件测试工程师,6-8千/月,东莞-南城区,广东中翼信息科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),07-22,
EMC测试工程师,1-1.5万/月,深圳-坪山区,深圳市德兰明海科技有限公司,民营公司,500-1000人,电子技术/半导体/集成电路,07-22,
软件测试工程师（周末双休）,0.6-1万/月,广州-番禺区,广州市倍尔康医疗器械有限公司,民营公司,500-1000人,医疗设备/器械,07-22,
实验室测试工程师,0.8-1.1万/月,中山,中山市科欣电子有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,07-22,
软件测试工程师,7-9千/月,上海-嘉定区,上海天方夜谭网络科技有限公司,民营公司,少于50人,计算机软件,07-22,
产品测试工程师,4.5-6千/月,成都-龙泉驿区,成都创科升电子科技有限责任公司,民营公司,少于50人,电子技术/半导体/集成电路,07-22,
软件测试工程师,1.5-2万/月,上海,上海市信息管线有限公司,国企,150-500人,通信/电信运营、增值服务,07-22,
测试工程师,0.8-1万/月,无锡-梁溪区,无锡初试网络科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
软件测试工程师,0.8-1万/月,广州-黄埔区,广州平云小匠科技有限公司,国企,500-1000人,计算机服务(系统、数据服务、维修),07-22,
软件测试工程师,5-9千/月,佛山,广东艾科智泊科技股份有限公司,民营公司,150-500人,计算机软件,07-22,
