职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
射频测试工程师,6-9千/月,北京-海淀区,南京畅索软件科技有限公司,民营公司,500-1000人,互联网/电子商务,07-22,
测试工程师,0.8-1.2万/月,深圳-南山区,深圳市友点科技有限公司,民营公司,50-150人,计算机软件,07-22,
产品测试工程师（低压电器）,0.6-1.2万/月,盐城-亭湖区,上海电器设备检测所有限公司,国企,150-500人,检测，认证,07-22,
软件测试工程师,,上海-浦东新区,翱捷科技（上海）有限公司,合资,500-1000人,电子技术/半导体/集成电路,07-22,
系统测试工程师,0.9-1.5万/月,深圳-宝安区,深圳优地科技有限公司,民营公司,150-500人,计算机硬件,07-22,
硬件测试工程师,0.5-1万/月,广州-黄埔区,广州市凝智科技有限公司,民营公司,150-500人,计算机软件,07-22,
电气测试工程师,1.5-2万/月,北京-昌平区,同方鼎欣科技股份有限公司,上市公司,1000-5000人,计算机软件,07-22,
测试工程师,1-1.6万/月,广州-天河区,广东三维家信息科技有限公司,民营公司,1000-5000人,计算机软件,07-22,
测试工程师,0.8-1.5万/月,杭州-拱墅区,上海亿保健康管理有限公司,民营公司,500-1000人,医疗/护理/卫生,07-22,
软件测试工程师,0.8-1.3万/月,广州-番禺区,深圳市德科信息技术有限公司,合资,1000-5000人,计算机软件,07-22,
测试工程师（杭州）,1-1.5万/月,杭州-萧山区,金证财富南京科技有限公司,民营公司,500-1000人,计算机软件,07-22,
生产测试工程师,0.7-1.2万/月,上海-闵行区,科控工业自动化设备（上海）有限公司,外资（欧美）,50-150人,仪器仪表/工业自动化,07-22,
测试工程师（研发一部）,5-8千/月,广州,广州优路加信息科技有限公司,民营公司,150-500人,计算机软件,07-22,
测试主管/测试工程师,0.6-1.2万/月,武汉,武汉品迅科技有限公司,民营公司,50-150人,电气/电力/水利,07-22,
软件测试工程师,0.8-1.5万/月,武汉-洪山区,深圳市法本信息技术股份有限公司,上市公司,10000人以上,计算机软件,07-22,
软件测试工程师,0.6-1万/月,南昌-青山湖区,南昌徽宁科技有限公司,民营公司,少于50人,互联网/电子商务,07-22,
测试工程师,1-1.5万/月,绍兴-柯桥区,科大绍兴新材料产业技术研究院,事业单位,少于50人,政府/公共事业,07-22,
射频测试工程师-WHT,1-1.5万/月,无锡,无锡威孚高科技集团股份有限公司,国企,5000-10000人,汽车,07-22,
测试工程师,0.8-1万/月,深圳,深圳市华诚科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,07-22,
软件测试工程师,6.5-8.5千/月,杭州-西湖区,杭州锐达数字技术有限公司,民营公司,50-150人,计算机软件,07-22,
硬件测试工程师,4.5-6千/月,广州-白云区,广州市徽凰电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
变频器测试工程师,1.5-2万/月,上海,先勒动力控制技术（上海）有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
测试工程师,0.8-1万/月,上海,上海回天新材料有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
软件测试工程师,1-1.2万/月,上海-浦东新区,深圳市网新新思软件有限公司,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),07-22,
测试工程师,0.6-1万/月,郑州-中原区,浙江汰风智能科技有限公司,外资（非欧美）,少于50人,互联网/电子商务,07-22,
自动化测试工程师,6-8千/月,合肥,上海占域实业有限公司,合资,150-500人,计算机软件,07-22,
图像调试测试工程师,0.8-1.6万/月,深圳-南山区,深圳市天视通电子科技有限公司,民营公司,50-150人,通信/电信/网络设备,07-22,
软件测试工程师,0.9-1.8万/月,成都-锦江区,深圳市紫川软件有限公司,民营公司,500-1000人,计算机软件,07-22,
软件测试工程师,0.8-1.3万/月,杭州-萧山区,杭州杭钢炽橙智能科技有限公司,创业公司,50-150人,计算机软件,07-22,
软件测试工程师,0.8-1万/月,成都-天府新区,新晨科技股份有限公司,民营公司,1000-5000人,计算机软件,07-22,
软件测试工程师,0.8-1万/月,西安-莲湖区,厦门至恒融兴信息技术股份有限公司,民营公司,1000-5000人,计算机软件,07-22,
资深测试工程师,7-9千/月,福州-仓山区,名成腾德检测服务（福州）有限公司,外资（欧美）,少于50人,检测，认证,07-22,
软件测试工程师,0.8-1.3万/月,杭州-西湖区,杭州得誉科技有限公司,民营公司,少于50人,计算机软件,07-22,
硬件测试工程师,8-10万/年,深圳-福田区,深圳市长菱热能科技有限公司,民营公司,,计算机软件,07-22,
软件测试工程师,0.7-1.4万/月,苏州-工业园区,二元（苏州）工业科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
软件测试工程师,5-6千/月,大连-金州区,海神岛（大连）海珍品有限公司,民营公司,500-1000人,农/林/牧/渔,07-22,
软件测试工程师,6-8千/月,苏州-高新区,苏州纽迈分析仪器股份有限公司,民营公司,150-500人,仪器仪表/工业自动化,07-22,
测试工程师（偏软件）,,南京-雨花台区,艾德克斯研发中心,外资（非欧美）,,仪器仪表/工业自动化,07-22,
测试工程师,4.5-7千/月,杭州-临平区,杭州工信光电子有限公司,民营公司,50-150人,通信/电信/网络设备,07-22,
软件测试工程师,6-8千/月,沈阳-和平区,沈阳中新科技开发有限公司,民营公司,150-500人,计算机软件,07-22,
测试工程师,0.6-1万/月,苏州-工业园区,麦锡金属处理技术服务（苏州）有限公司,外资（欧美）,50-150人,航天/航空,07-22,
软件测试工程师,0.8-1万/月,深圳-龙岗区,深圳市康凯思特通讯设备有限公司,民营公司,50-150人,通信/电信/网络设备,07-22,
测试工程师,5-9千/月,佛山-南海区,广东纳信通网络科技有限公司,民营公司,少于50人,计算机软件,07-22,
软件测试工程师,1-1.5万/月,深圳-南山区,深圳市正信软件有限公司,民营公司,,计算机软件,07-22,
