职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
大数据分析师,0.8-1万/月,大连,大连金慧融智科技股份有限公司,民营公司,,外包服务,07-23,
数据分析师,0.8-1万/月,上海-静安区,利多星（上海）投资管理有限公司,民营公司,150-500人,金融/投资/证券,07-23,
中医大数据分析师,1-1.5万/月,上海-闵行区,万贝医疗健康科技（上海）有限公司,民营公司,少于50人,医疗/护理/卫生,07-23,
数据分析师,6-8千/月,深圳,深圳市富盛资产管理有限公司,民营公司,,金融/投资/证券,07-23,
数据分析师,0.8-1万/月,上海-浦东新区,上海卡方信息科技有限公司,民营公司,150-500人,金融/投资/证券,07-23,
数据分析师,0.9-1.4万/月,杭州-萧山区,杭州聚英电子商务有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师,0.8-1.2万/月,苏州-吴中区,苏州凯帝丽莎网络信息技术有限公司,外资（欧美）,50-150人,批发/零售,07-23,
数据分析师,1-1.5万/月,上海-黄浦区,上海丰凡文化传媒有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,07-23,
数据分析师,5-8千/月,福州-鼓楼区,福建榕信通信息技术有限公司,民营公司,150-500人,通信/电信/网络设备,07-23,
业务数据分析师（电商方向）,0.8-1.2万/月,成都-高新区,成都市笑脸科技有限公司,民营公司,50-150人,家具/家电/玩具/礼品,07-23,
数据分析师,0.8-1万/月,上海-黄浦区,普利司通（中国）投资有限公司,外资（非欧美）,500-1000人,汽车,07-23,
数据分析师,1-1.5万/月,上海-杨浦区,上海环世物流（集团）有限公司,民营公司,1000-5000人,交通/运输/物流,07-23,
数据 分析师 运营师 统计师,1.5-2.5万/月,上海-静安区,喜士多便利店C-STORE-零售业-连锁,民营公司,1000-5000人,批发/零售,07-23,
数据分析师（供应链方向）,1-1.5万/月,苏州-吴江区,苏州欧普照明有限公司,上市公司,1000-5000人,电子技术/半导体/集成电路,07-23,
数据分析师,6-8千/月,上海-杨浦区,上海天眷律师事务所,民营公司,150-500人,法律,07-23,
数据分析师 8-12k 周末双休,1-1.5万/月,深圳-福田区,深圳市润迅人才服务有限公司佛山分公司,民营公司,150-500人,计算机软件,07-23,
助理数据分析师,0.8-1.5万/月,中山,中山世达模型制造有限公司,外资（欧美）,150-500人,贸易/进出口,07-23,
数据分析师-侧重调研报告（偏应用）,1.5-2万/月,成都,中建电子商务有限责任公司,国企,500-1000人,互联网/电子商务,07-23,
数据统计分析师,5-8千/月,宁波-鄞州区,国烨跨境电子商务（宁波）有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师,4.5-6千/月,济南-历下区,山东华夏良子健康管理有限公司,民营公司,5000-10000人,美容/保健,07-23,
新人群消费数据分析师,1-1.5万/月,西安-碑林区,陕西五环胜道运动产业开发有限公司,民营公司,1000-5000人,批发/零售,07-23,
数据分析师,1.5-3万/月,上海-徐汇区,上海假面信息科技有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师,0.6-1万/月,长沙-芙蓉区,湖南惟可托信息咨询有限公司,民营公司,,计算机软件,07-23,
数据分析师,1.3-2.5万/月,深圳-罗湖区,深圳市阿卡索资讯股份有限公司,民营公司,1000-5000人,互联网/电子商务,07-23,
数据分析师,1.5-1.8万/月,上海-黄浦区,上海银雁科技服务有限公司,民营公司,500-1000人,计算机软件,07-23,
数据分析师,1.5-2万/月,成都-青羊区,成都拓普颐德科技有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,6-8千/月,济南-历城区,山东澳威企业管理咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,5-9千/月,南京-建邺区,通联数据股份公司,合资,5000-10000人,金融/投资/证券,07-23,
数据分析师,4.5-6千/月,南昌-西湖区,江西省影纳文化传媒有限公司,民营公司,少于50人,影视/媒体/艺术/文化传播,07-23,
数据分析师6-10K+双休,0.6-1.2万/月,青岛-市南区,青岛嘉淼网络科技有限公司,民营公司,,通信/电信/网络设备,07-23,
数据分析师,0.5-1万/月,西安-莲湖区,陕西嘉信天懿商务信息咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,1-1.5万/月,深圳,安芯易电子商务（深圳）有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-23,
数据分析师,6-8千/月,广州-天河区,广州樊文花化妆品有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,0.9-1.5万/月,武汉-黄陂区,深圳市法本信息技术股份有限公司,上市公司,10000人以上,计算机软件,07-23,
数据分析师,0.8-1.5万/月,深圳-福田区,深圳华强电子网集团股份有限公司,民营公司,500-1000人,通信/电信/网络设备,07-23,
数据分析师,1.5-3万/月,深圳-南山区,慧择网,上市公司,1000-5000人,互联网/电子商务,07-23,
临床数据分析师,1-1.5万/月,南京-秦淮区,南京医格尔信息科技有限公司,民营公司,150-500人,计算机软件,07-23,
数据分析师(J10006),1-1.5万/月,广州-天河区,手盟网络,民营公司,150-500人,网络游戏,07-23,
数据分析师,1.1-2万/月,长沙-雨花区,深圳市魔数智擎人工智能有限公司,民营公司,,计算机软件,07-23,
数据分析师,6-8千/月,成都-高新区,四川安吉物流集团有限公司,国企,1000-5000人,交通/运输/物流,07-23,
数据分析师（偏业务） (MJ000278),1-1.5万/月,合肥-蜀山区,合肥维天运通信息科技股份有限公司,民营公司,500-1000人,互联网/电子商务,07-23,
数据分析师,1.5-2.5万/月,广州-海珠区,如祺出行,合资,500-1000人,互联网/电子商务,07-23,
数据分析师,0.8-1.3万/月,深圳-宝安区,深圳市绘王动漫科技有限公司,民营公司,500-1000人,计算机硬件,07-23,
数据分析师,6-8千/月,南昌,江西伊尚服饰有限公司,民营公司,500-1000人,服装/纺织/皮革,07-23,
BI数据分析师,1.2-2万/月,苏州-工业园区,上海合合信息科技股份有限公司,民营公司,500-1000人,计算机软件,07-23,
数据分析师NJ (MJ000054),4-8千/月,南京-建邺区,通联数据股份公司,民营公司,150-500人,金融/投资/证券,07-23,
数据分析师(小程序端、PC网页端),0.8-1万/月,广州,广东省行业协会联合会,非营利组织,50-150人,非营利组织,07-23,
大数据分析师助理/包吃住,6.5-9.8千/月,深圳-宝安区,深圳波特空间设计工程有限公司,民营公司,50-150人,家居/室内设计/装潢,07-23,
数据分析师管培生,6-8千/月,广州-花都区,广东鑫莹荣精细化工有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,1-1.5万/月,广州-天河区,广州思软信息科技有限公司,民营公司,150-500人,计算机软件,07-23,
数据分析师,1.2-1.8万/月,北京-通州区,北京联华永盛投资管理有限公司,民营公司,,金融/投资/证券,07-23,
亚马逊选品数据分析师,2-2.5万/月,深圳-龙华区,深圳市兆亿鑫技术有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,6-8千/月,北京-朝阳区,北京酷车易美网络科技有限公司,民营公司,150-500人,互联网/电子商务,07-23,
数据分析师 (MJ004766),1.5-2万/月,深圳-南山区,北京钱大妈生鲜食品连锁有限公司,民营公司,5000-10000人,批发/零售,07-23,
临床数据分析师、医学遗传分析师,0.8-1.5万/月,杭州,杭州金诺医学检验实验室有限公司,民营公司,50-150人,医疗/护理/卫生,07-23,
数据分析师,5-7千/月,合肥-庐阳区,中国平安人寿保险股份有限公司合肥电话销售中心,上市公司,1000-5000人,金融/投资/证券,07-23,
数据分析师（医疗信息化项目）,0.9-1.3万/月,广州-海珠区,广州市瑞民医药科技有限公司,民营公司,50-150人,制药/生物工程,07-23,
数据分析师,1-1.5万/月,天津-东丽区,佰聆数据股份有限公司,民营公司,150-500人,互联网/电子商务,07-23,
