职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
数据分析师,1-1.2万/月,上海-徐汇区,上海皖江实业有限公司,民营公司,50-150人,机械/设备/重工,07-23,
数据建模分析师,1.5-2.5万/月,上海-静安区,上海晶确科技有限公司,外资（非欧美）,50-150人,计算机软件,07-23,
数据分析师,1.5-1.8万/月,上海,上海麦昱建筑设计咨询事务所,外资（非欧美）,50-150人,建筑/建材/工程,07-23,
数据分析师,6-8千/月,东莞-虎门镇,东莞市曙光实业发展有限公司,民营公司,150-500人,汽车,07-23,
数据分析师,0.8-1.8万/月,东莞,东莞搜谷计算机系统有限公司,民营公司,500-1000人,互联网/电子商务,07-23,
数据分析师,1.5-3万/月,广州-天河区,广州诗悦网络科技有限公司,民营公司,500-1000人,网络游戏,07-23,
数据分析师/一定不加班/双休,4.5-8千/月,武汉-东湖新技术产业开发区,武汉市优鲜驿站科技有限公司,民营公司,,批发/零售,07-23,
数据分析师,1.2-1.8万/月,南通-港闸区,龙湖集团地产,民营公司,10000人以上,房地产,07-23,
数据分析师,6-8千/月,宁波-鄞州区,宁波利特网络科技有限公司,民营公司,50-150人,贸易/进出口,07-23,
数据分析师,6-8千/月,广州-越秀区,广东省畅想云科技产业控股有限公司,民营公司,50-150人,教育/培训/院校,07-23,
数据分析师-BI工程师,0.6-1.1万/月,广州-天河区,广州博锐信息科技有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,1.5-2万/月,宁波-鄞州区,宁波安可汽配有限公司,民营公司,少于50人,汽车,07-23,
Senior Data Analysis APAC Quality 高级数据分析师,1.5-2.5万/月,上海-嘉定区,Volvo Car China 沃尔沃汽车中国,外资（欧美）,1000-5000人,汽车,07-23,
风控数据分析师,1.2-2万/月,武汉-洪山区,武汉聚诺科技有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师/研究员,0.5-1万/月,济南-历城区,济南恒胜企业管理咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
数据分析师,4.5-6千/月,滨州,香驰控股有限公司,民营公司,1000-5000人,多元化业务集团公司,07-23,
数据分析师,0.9-1.6万/月,济南-历下区,山东亚微软件股份有限公司,民营公司,150-500人,计算机软件,07-23,
业务数据分析师（资管投诉）(J10260),0.8-1.5万/月,重庆-渝北区,珠海信盟科技发展有限公司,民营公司,1000-5000人,金融/投资/证券,07-23,
初级数据分析师,6-8千/月,广州-天河区,广州汇才创智科技有限公司,民营公司,150-500人,计算机软件,07-23,
数据分析师,4-8千/月,西安-西咸新区,陕西西北火电工程有限公司,民营公司,500-1000人,电气/电力/水利,07-23,
数据分析师,1-2万/月,上海-静安区,社宝信息科技（上海）有限公司,民营公司,500-1000人,互联网/电子商务,07-23,
数据分析师（电商双休）,1-1.5万/月,杭州-萧山区,浙江松贞科技有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师（SZY1212）,1-1.6万/月,深圳-福田区,招银云创信息技术有限公司,民营公司,500-1000人,计算机软件,07-23,
数据分析师（直播业务）,0.8-1.2万/月,广州-天河区,广州鸣拓盛世数字传媒有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,07-23,
数据分析师,1.5-2万/月,上海-浦东新区,上海赢他网络科技有限公司,合资,150-500人,互联网/电子商务,07-23,
数据分析师,1.5-2万/月,深圳-宝安区,深圳安吉尔饮水产业集团有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,07-23,
数据分析师/双休,6-8千/月,重庆-江北区,重庆鑫森焱科技有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,6-9千/月,广州-天河区,广东博众证券投资咨询有限公司,民营公司,500-1000人,金融/投资/证券,07-23,
